Old_Range,Old_ExtraAffectResult,New_Damage,New_FullRangeDescription,Old_WasEditedForGame,New_NumOfTurns,Old_NumOfTargets,Old_LengthOfBonusAffect,Old_FullRangeDescription,New_LengthOfExtraAffect,Old_Damage,New_ContributedBy,Old_NumOfTurns,New_LengthOfBonusAffect,Old_AttackCategory,Old_AccuracyBonusType,Old_AC,New_AccuracyBonusType,New_ElementType,New_ContestStats,Old_AccuracyBonusResult,Old_ContributedBy,New_WasEditedForGame,AttackName,New_NumOfTargets,New_Category,New_AC,Old_AccuracyCheckBonus,New_AttackEffects,Old_ExtraAffectType,Old_ContestStats,New_Frequency,New_AccuracyCheckBonus,New_ExtraAffectType,Old_Frequency,Old_LengthOfExtraAffect,New_Range,New_AttackCategory,New_ExtraAffectResult,New_AccuracyBonusResult,Old_ElementType,Old_Category,Old_AttackEffects
Melee,,3d8+10,"Melee, 1 Target, Dash",0,, 1 Target,,"Melee, 1 Target, Dash",,3d8+10,,,, Dash,,2,,Normal,Tough - 3d4 - No Effect,Flinches,,0,Stomp, 1 Target,Physical,2,15,"Stomp Flinches the target on 15-20 during Accuracy Check. If the target is Small, Stomp deals an additional 1d10.",,Tough - 3d4 - No Effect,EOT,15,,EOT,,Melee, Dash,,Flinches,Normal,Physical,"Stomp Flinches the target on 15-20 during Accuracy Check. If the target is Small, Stomp deals an additional 1d10."
Melee,,2d8+6,"Melee, 1 Target, Dash",0,, 1 Target,,"Melee, 1 Target, Dash",,2d8+6,,,, Dash,,3,,Normal,Tough - 3d4 - No Effect,,,0,Tackle, 1 Target,Physical,3,,-,,Tough - 3d4 - No Effect,At-Will,,,At-Will,,Melee, Dash,,,Normal,Physical,-
Melee,,3d12+14,"Melee, 1 Target, Dash, Recoil 1/4",0,, 1 Target,,"Melee, 1 Target, Dash, Recoil 1/4",,3d12+14,,,, Dash,,5,,Normal,Tough - 3d4 - No Effect,,,0,Take Down, 1 Target,Physical,5,,"After Take Down deals damage, Recoil.",,Tough - 3d4 - No Effect,EOT,,,EOT,,Melee, Dash,,,Normal,Physical,"After Take Down deals damage, Recoil."
Melee,,3d10+12,"Melee, 1 Target, Dash",0,, 1 Target,,"Melee, 1 Target, Dash",,3d10+12,,,, Dash,,4,,Psychic,Beauty - 2d4 - Round Ender,Flinches,,0,Zen Headbutt, 1 Target,Physical,4,15,Zen Headbutt Flinches the target on 15-20 during Accuracy Check.,,Beauty - 2d4 - Round Ender,EOT,15,,EOT,,Melee, Dash,,Flinches,Psychic,Physical,Zen Headbutt Flinches the target on 15-20 during Accuracy Check.
Melee,,7d10+28,"Melee, 1 Target, Dash, Push, Recoil 1/2",0,, 1 Target,,"Melee, 1 Target, Dash, Push, Recoil 1/2",,7d10+28,,,, Dash,,5,,Rock,Tough - 2d4 - Seen Nothing Yet,,,0,Head Smash, 1 Target,Physical,5,,"The target is pushed back 5-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. After Head Smash deals damage, Recoil.",,Tough - 2d4 - Seen Nothing Yet,Battle,,,Battle,,Melee, Dash,,,Rock,Physical,"The target is pushed back 5-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. After Head Smash deals damage, Recoil."
Melee,,3d10+12,"Melee, 1 Target, Dash",0,, 1 Target,,"Melee, 1 Target, Dash",,3d10+12,,,, Dash,,2,,Steel,Tough - 2d4 - Round Ender,Flinches,,0,Iron Head, 1 Target,Physical,2,15,Iron Head Flinches the target on 15-20 during Accuracy Check.,,Tough - 2d4 - Round Ender,EOT,15,,EOT,,Melee, Dash,,Flinches,Steel,Physical,Iron Head Flinches the target on 15-20 during Accuracy Check.
Melee,,4d12+16,"Melee, 1 Target, Dash, Spirit Surge",0,, 1 Target,,"Melee, 1 Target, Dash, Spirit Surge",,4d12+16,,,, Dash,,4,,Steel,Cool - 2d4 - Round Ender,,,0,Meteor Mash, 1 Target,Physical,4,,Raise the user's Attack 1 Combat Stage on 15-20 during Accuracy Check.,,Cool - 2d4 - Round Ender,Battle,,,Battle,,Melee, Dash,,,Steel,Physical,Raise the user's Attack 1 Combat Stage on 15-20 during Accuracy Check.
Melee,,3d10+12,"Melee, 1 Target, Dash",0,, 1 Target,,"Melee, 1 Target, Dash",,3d10+12,,,, Dash,,2,,Water,Beauty - 1d4 - Special Attention,,,0,Dive, 1 Target,Physical,2,,"Once you declare the use of Dive, the user is moved underwater and their turn ends. On the next turn, Dive's user may shift then use Dive's damage. While underwater, Dive's user may not be the target of Moves. There must be a body of water around the battlefield to use Dive. For Pokemon users, the second turn is their Trainer's Command Action, unless the Trainer is unconscious, in which case the Pokemon acts on its own, finishing Dive. *Grants: Underwater +3; Eliminates: Sinker",,Beauty - 1d4 - Special Attention,Battle,,,Battle,,Melee, Dash,,,Water,Physical,"Once you declare the use of Dive, the user is moved underwater and their turn ends. On the next turn, Dive's user may shift then use Dive's damage. While underwater, Dive's user may not be the target of Moves. There must be a body of water around the battlefield to use Dive. For Pokemon users, the second turn is their Trainer's Command Action, unless the Trainer is unconscious, in which case the Pokemon acts on its own, finishing Dive. *Grants: Underwater +3; Eliminates: Sinker"
Ranged (5),,-,"Ranged (5), No Target, Column, Intercept",0,, No Target,,"Ranged (5), No Target, Column, Intercept",,-,,,, Column,,0,,Bug,Smart - 2d4 - Scrambler,,,0,Rage Powder, No Target,Effect,0,,Rage Powder creates a Column 1 meter wide. All legal targets may only target the user when using a Move until the user is knocked out or switched out. This Effect lasts for one round of combat.,,Smart - 2d4 - Scrambler,Center,,,Center,,Ranged (5), Column,,,Bug,Effect,Rage Powder creates a Column 1 meter wide. All legal targets may only target the user when using a Move until the user is knocked out or switched out. This Effect lasts for one round of combat.
Ranged (8),,3d10+12,"Ranged (8), 1 Target, Column",0,, 1 Target,,"Ranged (8), 1 Target, Column",,3d10+12,,,, Column,,2,,Bug,Beauty - None - Incentives,,,0,Signal Beam, 1 Target,Special,2,19,Signal Beam creates a Column 1 meter wide. Signal Beam confuses the target and any Legal Targets on 19-20 during Accuracy Check.,,Beauty - None - Incentives,EOT,19,,EOT,,Ranged (8), Column,,,Bug,Special,Signal Beam creates a Column 1 meter wide. Signal Beam confuses the target and any Legal Targets on 19-20 during Accuracy Check.
Ranged (15),,2d10+8,"Ranged (15), 1 Target, Column, Spirit Surge",0,, 1 Target,,"Ranged (15), 1 Target, Column, Spirit Surge",,2d10+8,,,, Column,,2,,Bug,Beauty - 2d4 - Incentives,,,0,Silver Wind, 1 Target,Special,2,16,"Silver Wind creates a Column that is 2-meters wide. If you rolled 11-20 during Accuracy Check for Silver Wind, the user has each of its stats raised 1 Combat Stage. If you rolled 16-20 on the Accuracy Roll, all allies in the Column also have each of their stats raised 1 Combat Stage and are not damaged by Silver Wind.",,Beauty - 2d4 - Incentives,Center,16,,Center,,Ranged (15), Column,,,Bug,Special,"Silver Wind creates a Column that is 2-meters wide. If you rolled 11-20 during Accuracy Check for Silver Wind, the user has each of its stats raised 1 Combat Stage. If you rolled 16-20 on the Accuracy Roll, all allies in the Column also have each of their stats raised 1 Combat Stage and are not damaged by Silver Wind."
Ranged (6),,-,"Ranged (6), 1 Target, Column",0,, 1 Target,,"Ranged (6), 1 Target, Column",,-,,,, Column,,3,,Bug,Smart - 2d4 - Excitement,,,0,String Shot, 1 Target,Effect,3,,"String Shot creates a Column 2-meters wide. All Legal Targets within the Column lower their Speed 1 Combat Stage. If a target is hit by String Shot 5 times within 5 rounds of combat, they are Trapped. If a target's Speed Combat Stage has already been lowered 6 times, String Shot Traps them. *Grants: Threaded",,Smart - 2d4 - Excitement,At-Will,,,At-Will,,Ranged (6), Column,,,Bug,Effect,"String Shot creates a Column 2-meters wide. All Legal Targets within the Column lower their Speed 1 Combat Stage. If a target is hit by String Shot 5 times within 5 rounds of combat, they are Trapped. If a target's Speed Combat Stage has already been lowered 6 times, String Shot Traps them. *Grants: Threaded"
Ranged (3),,1d10+4,"Ranged (3), 1 Target, Column",0,, 1 Target,,"Ranged (3), 1 Target, Column",,1d10+4,,,, Column,,2,,Bug,Smart - 2d4 - Excitement,,,0,Struggle Bug, 1 Target,Special,2,,Struggle Bug creates a Column 1 meter wide. Struggle Bug lowers all Legal Targets Special Attack 1 Combat Stage.,,Smart - 2d4 - Excitement,EOT,,,EOT,,Ranged (3), Column,,,Bug,Special,Struggle Bug creates a Column 1 meter wide. Struggle Bug lowers all Legal Targets Special Attack 1 Combat Stage.
Ranged (3),,2d10+8,"Ranged (3), 1 Target, Column",0,, 1 Target,,"Ranged (3), 1 Target, Column",,2d10+8,,,, Column,,2,,Dragon,Cool - 2d4 - Round Starter,,,0,Dragonbreath, 1 Target,Special,2,,Dragonbreath creates a Column 1 meter wide. Dragonbreath Paralyzes all Legal Targets on 15-20 during Accuracy Check.,,Cool - 2d4 - Round Starter,EOT,,,EOT,,Ranged (3), Column,,,Dragon,Special,Dragonbreath creates a Column 1 meter wide. Dragonbreath Paralyzes all Legal Targets on 15-20 during Accuracy Check.
Ranged (5),,2d8+6,"Ranged (5), 1 Target, Column, Spirit Surge",0,, 1 Target,,"Ranged (5), 1 Target, Column, Spirit Surge",,2d8+6,,,, Column,,3,,Electric,Beauty - 2d4 - Round Starter,,,0,Charge Beam, 1 Target,Special,3,,Charge Beam creates a Column 1 meter wide. Charge Beam raises the user's Special Attack 1 Combat Stage on 11-20 during Accuracy Check.,,Beauty - 2d4 - Round Starter,Battle,,,Battle,,Ranged (5), Column,,,Electric,Special,Charge Beam creates a Column 1 meter wide. Charge Beam raises the user's Special Attack 1 Combat Stage on 11-20 during Accuracy Check.
Ranged (4),,2d10+8,"Ranged (4), 1 Target, Column",0,, 1 Target,,"Ranged (4), 1 Target, Column",,2d10+8,,,, Column,,3,,Electric,Smart - 2d4 - Hold That Thought,,,0,Electroweb, 1 Target,Special,3,,Electroweb creates a Column 2-meters wide. All Legal Targets are lowered 1 Speed Combat Stage. *Grants: Threaded,,Smart - 2d4 - Hold That Thought,EOT,,,EOT,,Ranged (4), Column,,,Electric,Special,Electroweb creates a Column 2-meters wide. All Legal Targets are lowered 1 Speed Combat Stage. *Grants: Threaded
Ranged (2),,2d10+8,"Ranged (2), 1 Target, Column",0,, 1 Target,,"Ranged (2), 1 Target, Column",,2d10+8,,,, Column,,0,,Electric,Cool - 2d4 - Round Starter,,,0,Shock Wave, 1 Target,Special,0,,Shock Wave creates a Column 2-meters wide. Shock Wave cannot miss. *Grants: Zapper,,Cool - 2d4 - Round Starter,EOT,,,EOT,,Ranged (2), Column,,,Electric,Special,Shock Wave creates a Column 2-meters wide. Shock Wave cannot miss. *Grants: Zapper
Ranged (7),,4d12+16,"Ranged (7), 1 Target, Column",0,, 1 Target,,"Ranged (7), 1 Target, Column",,4d12+16,,,, Column,,2,,Electric,Cool - 2d4 - Round Starter,,,0,Thunderbolt, 1 Target,Special,2,,Thunderbolt creates a Column 1 meter wide. Thunderbolt Paralyzes all Legal Targets on 19-20 during Accuracy Check. *Grants: Zapper,,Cool - 2d4 - Round Starter,Battle,,,Battle,,Ranged (7), Column,,,Electric,Special,Thunderbolt creates a Column 1 meter wide. Thunderbolt Paralyzes all Legal Targets on 19-20 during Accuracy Check. *Grants: Zapper
Ranged (4),,4d12+16,"Ranged (4), 1 Target, Column",0,, 1 Target,,"Ranged (4), 1 Target, Column",,4d12+16,,,, Column,,2,,Fire,Beauty - 2d4 - Round Starter,,,0,Flamethrower, 1 Target,Special,2,,Flamethrower creates a Column 1 meter wide. Flamethrower Burns the target on 19-20 during Accuracy Check. *Grants: Firestarter,,Beauty - 2d4 - Round Starter,Battle,,,Battle,,Ranged (4), Column,,,Fire,Special,Flamethrower creates a Column 1 meter wide. Flamethrower Burns the target on 19-20 during Accuracy Check. *Grants: Firestarter
Ranged (10),,4d12+16,"Ranged (10), 1 Target, Column",0,, 1 Target,,"Ranged (10), 1 Target, Column",,4d12+16,,,, Column,,2,,Fire,Beauty - 2d4 - Seen Nothing Yet,,,0,Fusion Flare, 1 Target,Special,2,,"Fusion Flare creates a 4-meter Column. If an opponent in this, or the last, round of the encounter used Fusion Bolt, Fusion Flare deals an additional 8d12 in Damage Dice Roll.",,Beauty - 2d4 - Seen Nothing Yet,Center,,,Center,,Ranged (10), Column,,,Fire,Special,"Fusion Flare creates a 4-meter Column. If an opponent in this, or the last, round of the encounter used Fusion Bolt, Fusion Flare deals an additional 8d12 in Damage Dice Roll."
Ranged (20),,4d12+16,"Ranged (20), 1 Target, Column",0,, 1 Target,,"Ranged (20), 1 Target, Column",,4d12+16,,,, Column,,3,,Flying,Cool - 2d4 - Seen Nothing Yet,,,0,Aeroblast, 1 Target,Special,3,,Aeroblast creates a Column 2-meters wide. Aeroblast is a Critical Hit on 11-20 during Accuracy Check.,,Cool - 2d4 - Seen Nothing Yet,Center,,,Center,,Ranged (20), Column,,,Flying,Special,Aeroblast creates a Column 2-meters wide. Aeroblast is a Critical Hit on 11-20 during Accuracy Check.
Ranged (4),,2d10+8,"Ranged (4), 1 Target, Column",0,, 1 Target,,"Ranged (4), 1 Target, Column",,2d10+8,,,, Column,,2,,Flying,Smart - 1d4 - Catching Up,,,0,Chatter, 1 Target,Special,2,,Chatter creates a Column 1 meter wide. Chatter Confuses all Legal Targets.,,Smart - 1d4 - Catching Up,EOT,,,EOT,,Ranged (4), Column,,,Flying,Special,Chatter creates a Column 1 meter wide. Chatter Confuses all Legal Targets.
No Damage,,-,"No Damage, Target Area, Column",0,, Target Area,,"No Damage, Target Area, Column",,-,,,, Column,,0,,Flying,Smart - 2d4 - Quick Set,,,0,Tailwind, Target Area,Effect,0,,"Tailwind creates a Column 5-meters wide. For 1d6+1 turns, Tailwind's user and all of the user's allies in the Column have their Speed raised 1 Combat Stage. When the user or the user's allies leave the Column or when the Column dissapears, their Speed is lowered 1 Combat Stage. Whenever you make a new Tailwind Cloumn, the last one the user made disappears. *Grants: Guster",,Smart - 2d4 - Quick Set,At-Will,,,At-Will,,No Damage, Column,,,Flying,Effect,"Tailwind creates a Column 5-meters wide. For 1d6+1 turns, Tailwind's user and all of the user's allies in the Column have their Speed raised 1 Combat Stage. When the user or the user's allies leave the Column or when the Column dissapears, their Speed is lowered 1 Combat Stage. Whenever you make a new Tailwind Cloumn, the last one the user made disappears. *Grants: Guster"
Ranged (10),,-,"Ranged (10), 1 Target, Column",0,, 1 Target,,"Ranged (10), 1 Target, Column",,-,,,, Column,,0,,Ghost,Smart - 2d4 - Unsettling,,,0,Confuse Ray, 1 Target,Effect,0,,Confuse Ray creates a Column 1 meter wide. Confuse Ray cannot miss. All targets are Confused.,,Smart - 2d4 - Unsettling,Center,,,Center,,Ranged (10), Column,,,Ghost,Effect,Confuse Ray creates a Column 1 meter wide. Confuse Ray cannot miss. All targets are Confused.
Ranged (10),,2d10+8,"Ranged (10), 1 Target, Column, Spirit Surge",0,, 1 Target,,"Ranged (10), 1 Target, Column, Spirit Surge",,2d10+8,,,, Column,,2,,Ghost,Smart - None - Get Ready!,,,0,Ominous Wind, 1 Target,Special,2,,"Ominous Wind creates a Column that is 2-meters wide. If you rolled 11-20 during Accuracy Check for Ominous Wind, the user has each of its stats raised 1 Combat Stage. If you rolled 16-20 on the Accuracy Roll, all allies in the Column also have each of their stats raised 1 Combat Stage and are not damaged by Ominous Wind.",,Smart - None - Get Ready!,Center,,,Center,,Ranged (10), Column,,,Ghost,Special,"Ominous Wind creates a Column that is 2-meters wide. If you rolled 11-20 during Accuracy Check for Ominous Wind, the user has each of its stats raised 1 Combat Stage. If you rolled 16-20 on the Accuracy Roll, all allies in the Column also have each of their stats raised 1 Combat Stage and are not damaged by Ominous Wind."
Ranged (3),,6d12+22,"Ranged (3), Target Area, Column",0,, Target Area,,"Ranged (3), Target Area, Column",,6d12+22,,,, Column,,4,,Grass,Cute - 2d4 - Seen Nothing Yet,,,0,Leaf Storm, Target Area,Special,4,,Leaf Storm creates a 2-meter Column. Lower the user's Special Attack 2 Combat Stages after damage.,,Cute - 2d4 - Seen Nothing Yet,Center,,,Center,,Ranged (3), Column,,,Grass,Special,Leaf Storm creates a 2-meter Column. Lower the user's Special Attack 2 Combat Stages after damage.
Ranged (10),,5d12+18,"Ranged (10), 1 Target, Column",0,, 1 Target,,"Ranged (10), 1 Target, Column",,5d12+18,,,, Column,,2,,Grass,Cool - 1d4 - Special Attention,,,0,Solarbeam, 1 Target,Special,2,,"Once you declare the use of Solarbeam, the user's turn ends. On its next turn, the user may shift and use Solarbeam's damage. If it is Sunny, Solarbeam uses its damage on the turn you declare its use. If it is Rainy or Sand Storming Solarbeam's user must end their turn immediately at the start of their second turn after declaring Solarbeam's use, only getting to use Solarbeam's damage on the third turn. If it is Hailing, Solarbeam's damage is 3d10. Solarbeam creates a Column 1 meter wide. For Pokemon users, the second turn is their Trainer's Command Action, unless the Trainer is unconscious, in which case the Pokemon acts on its own, finishing Solarbeam.",,Cool - 1d4 - Special Attention,Battle,,,Battle,,Ranged (10), Column,,,Grass,Special,"Once you declare the use of Solarbeam, the user's turn ends. On its next turn, the user may shift and use Solarbeam's damage. If it is Sunny, Solarbeam uses its damage on the turn you declare its use. If it is Rainy or Sand Storming Solarbeam's user must end their turn immediately at the start of their second turn after declaring Solarbeam's use, only getting to use Solarbeam's damage on the third turn. If it is Hailing, Solarbeam's damage is 3d10. Solarbeam creates a Column 1 meter wide. For Pokemon users, the second turn is their Trainer's Command Action, unless the Trainer is unconscious, in which case the Pokemon acts on its own, finishing Solarbeam."
